,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
101,1024,61.0,151404,11.596030966000399,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
102,2048,61.0,151404,11.596030966000399,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
103,4096,61.0,151404,11.596030966000399,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
104,8192,61.0,151404,11.596030966000399,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
105,0,0.0,300,0.008622338995337486,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",300,0.5,8192
106,1,59.0,602,0.038512670987984166,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
107,2,59.0,903,0.06852480699308217,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
108,4,59.0,1505,0.12173990800511092,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
109,8,61.0,2710,0.22032476199092343,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
110,16,61.0,5118,0.4098904290003702,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
111,32,61.0,9934,0.7860445379919838,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
112,64,61.0,19566,1.5409386550018098,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
113,128,61.0,38830,3.021564310998656,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
114,256,61.0,77358,5.986062226991635,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
115,512,61.0,152307,11.750180823990377,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
116,1024,61.0,152307,11.750180823990377,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
117,2048,61.0,152307,11.750180823990377,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
118,4096,61.0,152307,11.750180823990377,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
119,8192,61.0,152307,11.750180823990377,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",300,0.5,8192
120,0,0.0,300,0.00873499401495792,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",300,0.6,8192
