,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_mutation_rates,param_pop_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
33,151.67253386974335,1.3534895181655884,0.06512296199798584,0.00036656856536865234,tanh,"[500, 500, 10]",1.0,0.4,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
34,295.83229517936707,0.014833688735961914,0.05318892002105713,0.012642502784729004,tanh,"[500, 500, 10]",1.0,0.4,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
35,431.82956051826477,0.7633812427520752,0.054406046867370605,0.0007127523422241211,tanh,"[500, 500, 10]",1.0,0.4,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
36,150.38492214679718,0.40210068225860596,0.052020907402038574,0.011234641075134277,tanh,"[500, 500, 10]",10.0,0.2,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
37,297.8317745923996,1.1724692583084106,0.06838321685791016,0.013665199279785156,tanh,"[500, 500, 10]",10.0,0.2,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
38,421.68305003643036,1.5448800325393677,0.05901217460632324,0.0016427040100097656,tanh,"[500, 500, 10]",10.0,0.2,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
39,150.02795958518982,0.06665945053100586,0.05801379680633545,0.005042672157287598,tanh,"[500, 500, 10]",10.0,0.4,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
40,292.73321890830994,0.11636972427368164,0.047550320625305176,0.00599515438079834,tanh,"[500, 500, 10]",10.0,0.4,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
41,428.9716829061508,2.2450748682022095,0.05345034599304199,0.012953996658325195,tanh,"[500, 500, 10]",10.0,0.4,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
42,151.64130663871765,0.09219717979431152,0.05960512161254883,0.0054318904876708984,tanh,"[500, 500, 10]",100.0,0.2,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
43,295.0948096513748,0.739529013633728,0.0407257080078125,0.0003707408905029297,tanh,"[500, 500, 10]",100.0,0.2,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
44,428.6258006095886,1.4789350032806396,0.06759917736053467,0.0022579431533813477,tanh,"[500, 500, 10]",100.0,0.2,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
45,152.07447803020477,0.09277617931365967,0.06102252006530762,0.0011188983917236328,tanh,"[500, 500, 10]",100.0,0.4,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
46,296.4012826681137,0.420016884803772,0.05225515365600586,0.013071537017822266,tanh,"[500, 500, 10]",100.0,0.4,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
47,427.95674765110016,1.1306058168411255,0.046186089515686035,0.00815427303314209,tanh,"[500, 500, 10]",100.0,0.4,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
